Timestamp;Fix;Lat;Lon;Alt;pAcc;Mag;Speed;sAcc;Heading;Battery;AccX;AccY;AccZ;GyrX;GyrY;GyrZ
17:05:23.879;False;0;0;0;0;0;0;0;0;4,15875;1579;120;-589;1098;168;809
17:05:23.994;False;0;0;0;0;0;0;0;0;4,16125;1865;643;-702;-1298;-106;-182
17:05:24.087;False;0;0;0;0;0;0;0;0;4,16125;1791;279;-798;32;-177;85
17:05:24.189;False;0;0;0;0;0;0;0;0;4,15875;1797;395;-615;-124;345;1114
17:05:24.290;False;0;0;0;0;0;0;0;0;4,15875;1964;273;-980;532;222;363
17:05:24.392;False;0;0;0;0;0;0;0;0;4,15875;1878;60;-692;-441;154;-105
17:05:24.478;False;0;0;0;0;0;0;0;0;4,16;1841;305;-388;-583;207;-136
17:05:24.587;False;0;0;0;0;0;0;0;0;4,16;1926;269;-628;-269;741;-298
17:05:24.689;False;0;0;0;0;0;0;0;0;4,16125;1817;345;-360;-1587;1020;-480
17:05:24.790;False;0;0;0;0;0;0;0;0;4,16125;1955;378;-464;174;-387;349
17:05:24.884;False;0;0;0;0;0;0;0;0;4,16125;1943;253;-463;-223;-485;256
17:05:24.986;False;0;0;0;0;0;0;0;0;4,15875;1896;393;-570;166;278;533
17:05:25.087;False;0;0;0;0;0;0;0;0;4,15875;1983;-288;-984;381;-162;1090
17:05:25.181;False;0;0;0;0;0;0;0;0;4,16;1900;431;-449;-369;349;-179
17:05:25.290;False;0;0;0;0;0;0;0;0;4,16;2066;109;-202;914;76;273
17:05:25.392;False;0;0;0;0;0;0;0;0;4,16;1663;57;329;503;-1134;967
17:05:25.486;False;0;0;0;0;0;0;0;0;4,15875;1832;187;-457;111;327;806
17:05:25.579;False;0;0;0;0;0;0;0;0;4,15875;2204;31;-191;-36;732;0
17:05:25.689;False;0;0;0;0;0;0;0;0;4,16;2099;1;-67;198;497;49
17:05:25.790;False;0;0;0;0;0;0;0;0;4,16;1913;-88;-76;-473;-53;52
17:05:25.884;False;0;0;0;0;0;0;0;0;4,16;1932;86;-239;-28;-81;56
17:05:25.978;False;0;0;0;0;0;0;0;0;4,16;2051;25;-150;-166;-35;72
17:05:26.087;False;0;0;0;0;0;0;0;0;4,16;2030;-55;-192;-118;-48;-73
17:05:26.189;False;0;0;0;0;0;0;0;0;4,15875;2145;121;-84;188;454;323
17:05:26.290;False;0;0;0;0;0;0;0;0;4,15875;2142;-86;-110;-177;95;427
17:05:26.384;False;0;0;0;0;0;0;0;0;4,15875;2020;-100;22;402;-377;-79
17:05:26.478;False;0;0;0;0;0;0;0;0;4,15875;-1563;75;-1021;-646;-2972;644
17:05:26.587;False;0;0;0;0;0;0;0;0;4,15875;2751;-86;-510;37;-356;-335
17:05:26.682;False;0;0;0;0;0;0;0;0;4,16;1897;40;-595;-128;-270;-247
17:05:26.783;False;0;0;0;0;0;0;0;0;4,16;1880;-85;-606;65;-145;-125
17:05:26.884;False;0;0;0;0;0;0;0;0;4,16;1631;74;-644;542;52;417
17:05:26.986;False;0;0;0;0;0;0;0;0;4,15875;1913;36;-573;-604;-336;600
17:05:27.087;False;0;0;0;0;0;0;0;0;4,15875;1937;1;-543;-101;-1454;391
17:05:27.181;False;0;0;0;0;0;0;0;0;4,15875;1763;466;-608;-249;-246;-1466
17:05:27.290;False;0;0;0;0;0;0;0;0;4,15875;2061;109;-764;645;-718;99
17:05:27.392;False;0;0;0;0;0;0;0;0;4,16;1702;104;-817;-158;-1286;2153
17:05:27.486;False;0;0;0;0;0;0;0;0;4,16;1938;-209;-779;328;514;143
17:05:27.587;False;0;0;0;0;0;0;0;0;4,16;1889;114;-793;-184;-390;-724
17:05:27.681;False;0;0;0;0;0;0;0;0;4,16;1858;118;-1068;482;-969;-516
17:05:27.783;False;0;0;0;0;0;0;0;0;4,16;1687;71;-1097;579;-273;-152
17:05:27.892;False;0;0;0;0;0;0;0;0;4,15875;1827;-83;-1009;83;673;-74
17:05:27.978;False;0;0;0;0;0;0;0;0;4,15875;1513;113;-972;-70;-21;143
17:05:28.087;False;0;0;0;0;0;0;0;0;4,15875;1777;-53;-929;-9;-25;237
17:05:28.189;False;0;0;0;0;0;0;0;0;4,16125;1754;10;-971;-352;-159;-372
17:05:28.290;False;0;0;0;0;0;0;0;0;4,16125;1843;19;-1044;-128;-316;-67
17:05:28.392;False;0;0;0;0;0;0;0;0;4,16;1725;33;-1046;-311;-169;222
17:05:28.486;False;0;0;0;0;0;0;0;0;4,16;1885;-42;-1053;-272;-108;41
17:05:28.579;False;0;0;0;0;0;0;0;0;4,16;1760;66;-1014;-339;-221;136
17:05:28.681;False;0;0;0;0;0;0;0;0;4,16;1745;4;-1208;375;-145;136
17:05:28.790;False;0;0;0;0;0;0;0;0;4,16;1686;94;-1116;-334;198;19
17:05:28.879;False;0;0;0;0;0;0;0;0;4,16;1732;17;-1108;349;467;111
17:05:28.986;False;0;0;0;0;0;0;0;0;4,16;1242;135;-1204;-403;-714;130
17:05:29.087;False;0;0;0;0;0;0;0;0;4,16;1969;107;-480;-47;725;-75
17:05:29.189;False;0;0;0;0;0;0;0;0;4,16;1399;207;-1165;-430;-419;-36
17:05:29.283;False;0;0;0;0;0;0;0;0;4,16;1477;-196;-711;117;1546;-250
17:05:29.392;False;0;0;0;0;0;0;0;0;4,15875;1953;129;-924;-235;-164;-323
17:05:29.473;False;0;0;0;0;0;0;0;0;4,15875;1837;-121;-837;-76;-1;282
17:05:29.587;False;0;0;0;0;0;0;0;0;4,15875;1678;167;-997;-664;-550;110
17:05:29.689;False;0;0;0;0;0;0;0;0;4,15875;1703;410;-1094;-279;-624;137
17:05:29.790;False;0;0;0;0;0;0;0;0;4,15875;1867;-8;-1135;-270;-213;770
17:05:29.892;False;0;0;0;0;0;0;0;0;4,15875;1549;123;-1055;-254;-282;377
17:05:29.986;False;0;0;0;0;0;0;0;0;4,15875;1786;48;-1011;-540;160;532
17:05:30.079;False;0;0;0;0;0;0;0;0;4,15875;1881;-334;-1137;-459;107;747
17:05:30.176;False;0;0;0;0;0;0;0;0;4,16;1855;-167;-819;-475;-183;344
17:05:30.290;False;0;0;0;0;0;0;0;0;4,16;1794;97;-1022;-714;-830;-424
17:05:30.392;False;0;0;0;0;0;0;0;0;4,16125;1515;276;-1327;29;-1513;-590
17:05:30.486;False;0;0;0;0;0;0;0;0;4,16125;1333;257;-1490;392;-1617;-584
17:05:30.587;False;0;0;0;0;0;0;0;0;4,16125;1255;219;-1671;413;-1339;-73
17:05:30.689;False;0;0;0;0;0;0;0;0;4,16;1069;-65;-1724;-22;-1206;139
17:05:30.788;False;0;0;0;0;0;0;0;0;4,16;1010;145;-1686;116;-844;166
17:05:30.829;False;0;0;0;0;0;0;0;0;4,16;1014;200;-1769;-38;-931;144
17:05:30.915;False;0;0;0;0;0;0;0;0;4,15875;928;168;-1735;-180;-569;236
17:05:31.025;False;0;0;0;0;0;0;0;0;4,15875;868;325;-1818;-223;-138;443
17:05:31.119;False;0;0;0;0;0;0;0;0;4,15875;877;253;-1692;-445;895;731
17:05:31.228;False;0;0;0;0;0;0;0;0;4,15875;1121;451;-1686;-320;-21;373
17:05:31.322;False;0;0;0;0;0;0;0;0;4,15875;300;158;-1511;123;-339;527
17:05:31.415;False;0;0;0;0;0;0;0;0;4,15875;1073;264;-1757;-68;8;667
17:05:31.525;False;0;0;0;0;0;0;0;0;4,15875;1015;657;-1615;-246;403;592
17:05:31.619;False;0;0;0;0;0;0;0;0;4,15875;1219;37;-1577;-417;176;989
17:05:31.720;False;0;0;0;0;0;0;0;0;4,15875;1176;-113;-1674;-720;-317;1148
17:05:31.829;False;0;0;0;0;0;0;0;0;4,15875;1061;-128;-1718;-1090;-346;1221
17:05:31.923;False;0;0;0;0;0;0;0;0;4,1575;1093;-124;-1640;-503;-400;1259
17:05:32.017;False;0;0;0;0;0;0;0;0;4,1575;901;-53;-1695;-706;-495;1121
17:05:32.126;False;0;0;0;0;0;0;0;0;4,16;1697;-182;-1518;-657;1309;1068
17:05:32.228;False;0;0;0;0;0;0;0;0;4,16;1447;80;-1553;-437;787;771
17:05:32.329;False;0;0;0;0;0;0;0;0;4,16;1680;185;-1506;-440;224;275
17:05:32.423;False;0;0;0;0;0;0;0;0;4,15875;1444;65;-1419;142;1365;464
17:05:32.525;False;0;0;0;0;0;0;0;0;4,15875;1234;86;-1405;438;990;295
17:05:32.626;False;0;0;0;0;0;0;0;0;4,16;1751;82;-1520;-160;424;48
17:05:32.728;False;0;0;0;0;0;0;0;0;4,16;1260;167;-1217;437;609;-36
17:05:32.822;False;0;0;0;0;0;0;0;0;4,16;1463;-126;-1178;438;615;221
17:05:32.923;False;0;0;0;0;0;0;0;0;4,15875;1540;84;-1154;543;669;-272
17:05:33.025;False;0;0;0;0;0;0;0;0;4,15875;1809;-80;-1143;630;812;147
17:05:33.119;False;0;0;0;0;0;0;0;0;4,15875;1564;-188;-1268;1074;239;-429
17:05:33.228;False;0;0;0;0;0;0;0;0;4,15875;1777;-723;-1112;751;822;-398
17:05:33.329;False;0;0;0;0;0;0;0;0;4,16;1644;-243;-739;688;466;-1134
17:05:33.423;False;0;0;0;0;0;0;0;0;4,16;1725;-233;-580;570;448;-812
17:05:33.517;False;0;0;0;0;0;0;0;0;4,16;1691;-212;-679;434;12;-663
17:05:33.626;False;0;0;0;0;0;0;0;0;4,15875;2192;-153;-651;505;-90;-554
17:05:33.728;False;0;0;0;0;0;0;0;0;4,15875;1967;182;-894;305;-143;-759
17:05:33.822;False;0;0;0;0;0;0;0;0;4,15875;1711;131;-1119;467;-339;-322
17:05:33.923;False;0;0;0;0;0;0;0;0;4,15625;1401;195;-997;529;-604;-210
17:05:34.025;False;0;0;0;0;0;0;0;0;4,15625;1617;30;-901;637;10;52
17:05:34.119;False;0;0;0;0;0;0;0;0;4,15875;1607;236;-1023;1088;43;-607
17:05:34.228;False;0;0;0;0;0;0;0;0;4,15875;1912;92;-926;1579;329;-568
17:05:34.329;False;0;0;0;0;0;0;0;0;4,1575;3348;128;-876;1325;524;-469
17:05:34.423;False;0;0;0;0;0;0;0;0;4,1575;1914;-480;-1085;1186;-98;-158
17:05:34.525;False;0;0;0;0;0;0;0;0;4,1575;1593;-547;-945;1164;-120;-255
17:05:34.626;False;0;0;0;0;0;0;0;0;4,15875;1553;-352;-840;949;59;-651
17:05:34.720;False;0;0;0;0;0;0;0;0;4,15875;1736;-427;-851;379;36;-384
17:05:34.829;False;0;0;0;0;0;0;0;0;4,15625;2053;-153;-770;-149;230;-336
17:05:34.923;False;0;0;0;0;0;0;0;0;4,15625;1858;-38;-596;58;205;-546
17:05:35.017;False;0;0;0;0;0;0;0;0;4,15625;2184;-3;-549;256;299;-800
17:05:35.126;False;0;0;0;0;0;0;0;0;4,1575;1732;-46;-1045;670;-263;-938
17:05:35.228;False;0;0;0;0;0;0;0;0;4,1575;1505;-43;-1193;498;-771;-367
17:05:35.329;False;0;0;0;0;0;0;0;0;4,15875;1471;141;-1145;1;-454;-129
17:05:35.423;False;0;0;0;0;0;0;0;0;4,15875;1534;637;-1327;-39;-254;-310
17:05:35.525;False;0;0;0;0;0;0;0;0;4,15875;1612;659;-1210;94;-472;-209
17:05:35.619;False;0;0;0;0;0;0;0;0;4,15875;1525;690;-1075;523;232;46
17:05:35.728;False;0;0;0;0;0;0;0;0;4,15875;2382;274;-795;898;631;-111
17:05:35.829;False;0;0;0;0;0;0;0;0;4,15875;1513;-333;-1035;929;-304;-127
17:05:35.931;False;0;0;0;0;0;0;0;0;4,15875;1795;-217;-750;3344;380;-798
17:05:36.025;False;0;0;0;0;0;0;0;0;4,15875;1454;-1018;-642;4586;-123;-819
17:05:36.126;False;0;0;0;0;0;0;0;0;4,1575;1736;-618;-754;2288;-64;-811
17:05:36.220;False;0;0;0;0;0;0;0;0;4,1575;1818;-353;-686;776;172;-706
17:05:36.322;False;0;0;0;0;0;0;0;0;4,15875;2320;-150;-661;179;564;-499
17:05:36.431;False;0;0;0;0;0;0;0;0;4,15875;2254;-4;-681;900;800;-1233
17:05:36.525;False;0;0;0;0;0;0;0;0;4,15875;1741;-122;-1254;2823;-83;-1328
17:05:36.619;False;0;0;0;0;0;0;0;0;4,1575;2086;-107;-1177;1789;245;-1002
17:05:36.720;False;0;0;0;0;0;0;0;0;4,1575;1703;-519;-602;1044;319;254
17:05:36.822;False;0;0;0;0;0;0;0;0;4,1575;1952;-257;-891;370;58;-25
17:05:36.923;False;0;0;0;0;0;0;0;0;4,1575;1647;-85;-915;852;75;-421
17:05:37.017;False;0;0;0;0;0;0;0;0;4,1575;1858;301;-842;1775;276;-778
17:05:37.126;False;0;0;0;0;0;0;0;0;4,15875;1710;578;-188;5915;741;-1746
17:05:37.228;False;0;0;0;0;0;0;0;0;4,15875;1929;-709;154;7179;454;-1182
17:05:37.329;False;0;0;0;0;0;0;0;0;4,15875;2093;-455;-85;2820;-79;-441
17:05:37.423;False;0;0;0;0;0;0;0;0;4,15875;2044;-340;-110;1120;-50;-221
17:05:37.525;False;0;0;0;0;0;0;0;0;4,15875;1979;-269;-152;196;-322;-130
17:05:37.619;False;0;0;0;0;0;0;0;0;4,1575;1890;-246;-285;-322;-185;-112
17:05:37.720;False;0;0;0;0;0;0;0;0;4,1575;1921;-146;-334;-521;-196;-92
