Timestamp;Fix;Lat;Lon;Alt;pAcc;Mag;Speed;sAcc;Heading;Battery;AccX;AccY;AccZ;GyrX;GyrY;GyrZ
13:56:50.251;False;0;0;0;0;0;0;0;0;4,17875;768;-493;-1706;-224;25;-121
13:56:50.353;False;0;0;0;0;0;0;0;0;4,17875;885;-433;-1735;-650;403;-314
13:56:50.454;False;0;0;0;0;0;0;0;0;4,17875;1013;-297;-1797;-1038;651;8
13:56:50.556;False;0;0;0;0;0;0;0;0;4,1775;889;-761;-1524;1304;-407;317
13:56:50.658;False;0;0;0;0;0;0;0;0;4,1775;913;-423;-1864;78;-121;440
13:56:50.751;False;0;0;0;0;0;0;0;0;4,1775;1221;-137;-1800;-284;-642;747
13:56:50.853;False;0;0;0;0;0;0;0;0;4,1775;805;-460;-1673;631;-855;976
13:56:50.947;False;0;0;0;0;0;0;0;0;4,1775;706;-507;-1869;286;-807;1127
13:56:51.056;False;0;0;0;0;0;0;0;0;4,1775;495;-505;-1637;633;-708;216
13:56:51.150;False;0;0;0;0;0;0;0;0;4,1775;539;-856;-2045;154;-289;384
13:56:51.244;False;0;0;0;0;0;0;0;0;4,1775;531;-471;-1848;-176;152;618
13:56:51.353;False;0;0;0;0;0;0;0;0;4,17625;622;-342;-1796;706;-478;597
13:56:51.447;False;0;0;0;0;0;0;0;0;4,17625;390;-777;-1858;256;-506;795
13:56:51.556;False;0;0;0;0;0;0;0;0;4,1775;-472;-1378;-4326;1011;-1019;-720
13:56:51.650;False;0;0;0;0;0;0;0;0;4,1775;444;-719;-1829;-95;232;-21
13:56:51.751;False;0;0;0;0;0;0;0;0;4,1775;490;-616;-2028;-640;653;-917
13:56:51.853;False;0;0;0;0;0;0;0;0;4,1775;674;-185;-1659;-678;863;256
13:56:51.947;False;0;0;0;0;0;0;0;0;4,1775;761;-1230;-2046;-196;1671;-1463
13:56:52.056;False;0;0;0;0;0;0;0;0;4,1775;497;-315;-1495;-1962;3008;5271
13:56:52.158;False;0;0;0;0;0;0;0;0;4,1775;736;-1078;-1473;-2577;4557;9631
13:56:52.251;False;0;0;0;0;0;0;0;0;4,1775;438;-1483;-1389;-1783;5723;8001
13:56:52.345;False;0;0;0;0;0;0;0;0;4,17875;958;-1756;-227;1004;5390;4082
13:56:52.454;False;0;0;0;0;0;0;0;0;4,17875;603;-1690;-1135;-3029;427;1252
13:56:52.556;False;0;0;0;0;0;0;0;0;4,17625;1230;-1706;-631;3;-1158;-2818
13:56:52.658;False;0;0;0;0;0;0;0;0;4,17625;1329;-1088;-872;1150;581;-2199
13:56:52.751;False;0;0;0;0;0;0;0;0;4,17625;1373;-1629;-384;5073;1512;-981
13:56:52.853;False;0;0;0;0;0;0;0;0;4,17625;1519;-1338;471;3715;2655;-1056
13:56:52.954;False;0;0;0;0;0;0;0;0;4,17625;1823;-1234;351;-4460;1226;-3910
13:56:53.048;False;0;0;0;0;0;0;0;0;4,1775;1832;-617;654;-1658;3970;-3999
13:56:53.150;False;0;0;0;0;0;0;0;0;4,1775;1571;-554;1066;394;2149;586
13:56:53.251;False;0;0;0;0;0;0;0;0;4,1775;1589;-343;1212;398;-544;-307
13:56:53.345;False;0;0;0;0;0;0;0;0;4,17625;1629;-803;747;1249;415;987
13:56:53.454;False;0;0;0;0;0;0;0;0;4,17625;1669;-670;1301;1312;2468;343
13:56:53.556;False;0;0;0;0;0;0;0;0;4,175;1399;-891;1229;-31;7;1850
13:56:53.658;False;0;0;0;0;0;0;0;0;4,175;1403;-884;1111;1348;-573;305
13:56:53.751;False;0;0;0;0;0;0;0;0;4,17125;1435;-808;1346;1527;92;-76
13:56:53.853;False;0;0;0;0;0;0;0;0;4,17125;1436;-690;1621;2329;1617;1667
13:56:53.954;False;0;0;0;0;0;0;0;0;4,17125;1158;-875;1522;1180;-145;2652
13:56:54.048;False;0;0;0;0;0;0;0;0;4,17375;867;-757;1785;851;495;1268
13:56:54.150;False;0;0;0;0;0;0;0;0;4,17375;947;-616;1867;-1081;1663;-2096
13:56:54.251;False;0;0;0;0;0;0;0;0;4,17625;704;-329;1834;278;786;-2890
13:56:54.345;False;0;0;0;0;0;0;0;0;4,17625;1011;-484;1869;-204;1082;-423
13:56:54.454;False;0;0;0;0;0;0;0;0;4,17625;610;-515;1837;3573;455;-744
13:56:54.548;False;0;0;0;0;0;0;0;0;4,17625;872;-183;1972;-268;503;508
13:56:54.658;False;0;0;0;0;0;0;0;0;4,17625;1554;14;1753;1551;-1154;-291
13:56:54.751;False;0;0;0;0;0;0;0;0;4,175;1278;-186;1714;141;-3736;1540
13:56:54.845;False;0;0;0;0;0;0;0;0;4,175;1020;-316;1367;757;2479;82
13:56:54.954;False;0;0;0;0;0;0;0;0;4,175;438;-322;1938;1029;3208;-746
13:56:55.048;False;0;0;0;0;0;0;0;0;4,175;224;-85;1870;634;2116;938
13:56:55.150;False;0;0;0;0;0;0;0;0;4,175;292;208;1989;72;444;42
13:56:55.251;False;0;0;0;0;0;0;0;0;4,17625;614;-94;2040;-5417;-39;1136
13:56:55.353;False;0;0;0;0;0;0;0;0;4,17625;450;-1011;1238;-8321;-3577;-1027
13:56:55.447;False;0;0;0;0;0;0;0;0;4,17625;502;-2044;721;-7318;-2238;-218
13:56:55.548;False;0;0;0;0;0;0;0;0;4,17625;587;-2309;-327;-15595;-535;3015
13:56:55.658;False;0;0;0;0;0;0;0;0;4,17625;931;-315;-2155;-9680;2836;-3608
13:56:55.751;False;0;0;0;0;0;0;0;0;4,175;1446;825;-2054;-3841;3531;-3818
13:56:55.853;False;0;0;0;0;0;0;0;0;4,175;1761;1511;-1187;11780;7400;-3790
13:56:55.947;False;0;0;0;0;0;0;0;0;4,175;1362;-282;1445;-429;6774;3427
13:56:56.056;False;0;0;0;0;0;0;0;0;4,175;1496;227;-695;-819;-1193;-512
13:56:56.158;False;0;0;0;0;0;0;0;0;4,175;1645;266;-109;519;231;391
13:56:56.244;False;0;0;0;0;0;0;0;0;4,17625;1811;199;-399;-79;-373;455
13:56:56.345;False;0;0;0;0;0;0;0;0;4,17625;1997;167;-545;554;-530;91
17:05:23.879;False;0;0;0;0;0;0;0;0;4,15875;1579;120;-589;1098;168;809
17:05:23.994;False;0;0;0;0;0;0;0;0;4,16125;1865;643;-702;-1298;-106;-182
17:05:24.087;False;0;0;0;0;0;0;0;0;4,16125;1791;279;-798;32;-177;85
17:05:24.189;False;0;0;0;0;0;0;0;0;4,15875;1797;395;-615;-124;345;1114
17:05:24.290;False;0;0;0;0;0;0;0;0;4,15875;1964;273;-980;532;222;363
17:05:24.392;False;0;0;0;0;0;0;0;0;4,15875;1878;60;-692;-441;154;-105
17:05:24.478;False;0;0;0;0;0;0;0;0;4,16;1841;305;-388;-583;207;-136
17:05:24.587;False;0;0;0;0;0;0;0;0;4,16;1926;269;-628;-269;741;-298
17:05:24.689;False;0;0;0;0;0;0;0;0;4,16125;1817;345;-360;-1587;1020;-480
17:05:24.790;False;0;0;0;0;0;0;0;0;4,16125;1955;378;-464;174;-387;349
17:05:24.884;False;0;0;0;0;0;0;0;0;4,16125;1943;253;-463;-223;-485;256
17:05:24.986;False;0;0;0;0;0;0;0;0;4,15875;1896;393;-570;166;278;533
17:05:25.087;False;0;0;0;0;0;0;0;0;4,15875;1983;-288;-984;381;-162;1090
